cell,F,d_eff_nominal,N,s,geometry,monitor_angle_deg,superposed,load,coherence,welch_floor,coherence_gap,rho_rd,d_eff_meas,f_eff_meas,gamma_r_mean,log_alignment_mean,delta_read_median,delta_read_mean,delta_input_median,infeasible_frac
0,32,8,8,0.02,random,15.0,True,4.0,0.8623773464215244,0.3110855084191276,0.5512918380023968,5.30544538564667,6.031538857524133,32,0.1485966068359961,0.024767764177815996,2.970342453889857,3.455162781169281,2.970342453889857,0.0
1,32,8,8,0.02,random,30.0,True,4.0,0.9539883899694986,0.3110855084191276,0.642902881550371,5.113326682673824,6.2581567707046615,32,0.3038048655897327,0.10866149709828936,1.4406566847464135,1.687036167607004,1.4406566847464135,0.0
2,32,8,8,0.02,random,45.0,True,4.0,0.8022185119276386,0.3110855084191276,0.491133003508511,4.62538859381154,6.918337638228678,32,0.47885252561774205,0.28367248383544247,0.9246117983556743,1.024807946487364,0.9246117983556743,0.0
3,32,8,8,0.05,random,15.0,True,4.0,0.9313111473828708,0.3110855084191276,0.6202256389637433,5.008470978624467,6.389175486205676,32,0.1567313378143438,0.02656373730458362,2.9687225974566056,3.0548551321840467,2.9687225974566056,0.0
4,32,8,8,0.05,random,30.0,True,4.0,0.9112533032715562,0.3110855084191276,0.6001677948524287,4.559134514284329,7.018876038805186,32,0.32135383398090867,0.1219459870442259,1.4436318509473565,1.6172103311655839,1.4436318509473565,0.0
5,32,8,8,0.05,random,45.0,True,4.0,0.9090934798238477,0.3110855084191276,0.5980079714047202,5.51293294598815,5.804532780194055,32,0.4197718035683101,0.2200213583580462,1.1119228319729393,1.1791870119506584,1.1119228319729393,0.0
6,32,8,8,0.1,random,15.0,True,4.0,0.8807655856253532,0.3110855084191276,0.5696800772062256,4.770828875726422,6.7074298478432794,32,0.16583300253868624,0.03027325438130269,2.663011130666,3.148843987127359,2.663011130666,0.0
7,32,8,8,0.1,random,30.0,True,4.0,0.8689718566327953,0.3110855084191276,0.5578863482136678,5.106027404663496,6.267103065442499,32,0.3014937513829755,0.10517614218630356,1.4322790530762104,1.5736623050255043,1.4322790530762104,0.0
8,32,8,8,0.1,random,45.0,True,4.0,0.8998482255743081,0.3110855084191276,0.5887627171551806,4.869626845571258,6.571345405881109,32,0.41503259417987265,0.22373990835835386,1.1538728109712801,1.2432986343799537,1.1538728109712801,0.0
9,32,16,16,0.02,random,15.0,True,2.0,0.7155841993095287,0.1796053020267749,0.5359788972827537,2.913957053036727,10.98163062034555,32,0.1872891681716626,0.036357496287946135,3.1789282439006348,3.2386892556480005,3.1789282439006348,0.0
10,32,16,16,0.02,random,30.0,True,2.0,0.6609400271485707,0.1796053020267749,0.48133472512179576,2.986093493663408,10.71634229400556,32,0.3588850918522383,0.14454876440164627,1.6032008161159843,1.7018175863347118,1.6032008161159843,0.0
11,32,16,16,0.02,random,45.0,True,2.0,0.7482254572420161,0.1796053020267749,0.5686201552152411,2.9658148450648385,10.789614885517379,32,0.513755800062097,0.3225232534902999,1.1566873118554466,1.1596525008844571,1.1566873118554466,0.0
12,32,16,16,0.05,random,15.0,True,2.0,0.7085933335817459,0.1796053020267749,0.528988031554971,2.802413224317322,11.418730015376413,32,0.1872369942397784,0.03638078681114125,3.250390529398659,3.2560587854693352,3.250390529398659,0.0
13,32,16,16,0.05,random,30.0,True,2.0,0.774966353609098,0.1796053020267749,0.5953610515823231,2.8554813493486377,11.206516900311572,32,0.37758138765937954,0.15840677350479998,1.6189209104051954,1.6301764284319211,1.6189209104051954,0.0
14,32,16,16,0.05,random,45.0,True,2.0,0.6544195811122631,0.1796053020267749,0.4748142790854881,2.9677326788946248,10.782642327448059,32,0.5259001606341445,0.34552234425623707,1.0918957341493485,1.180424989029303,1.0918957341493485,0.0
15,32,16,16,0.1,random,15.0,True,2.0,0.6232164255572108,0.1796053020267749,0.44361112353043586,3.003330063697738,10.654839568515888,32,0.17257569928544664,0.03143284342429421,3.344043673087112,3.451097365879355,3.344043673087112,0.0
16,32,16,16,0.1,random,30.0,True,2.0,0.6724230798496406,0.1796053020267749,0.4928177778228656,3.1179956294858258,10.263003481270745,32,0.3445759747727831,0.13357232725032553,1.6619101888411763,1.7303359936160547,1.6619101888411763,0.0
17,32,16,16,0.1,random,45.0,True,2.0,0.7311738071637746,0.1796053020267749,0.5515685051369996,3.0570002014592452,10.467778178334743,32,0.519443378446256,0.3456065947648853,1.1154289990781163,1.1847878392859994,1.1154289990781163,0.0
18,32,32,32,0.02,random,15.0,False,1.0,0.5481370173019796,0.0,0.5481370173019796,2.1520370915875087,14.869632184821839,32,0.16195048661236316,0.027049351842866144,4.3571857732326,4.349911392274684,4.3571857732326,0.0
19,32,32,32,0.02,random,30.0,False,1.0,0.5199105848957465,0.0,0.5199105848957465,1.9688628423447794,16.253036682783964,32,0.3453505059944834,0.13059955898732084,2.0610330335748386,2.1015110068249605,2.0610330335748386,0.0
20,32,32,32,0.02,random,45.0,False,1.0,0.5667056844783117,0.0,0.5667056844783117,1.9902158375570596,16.078658101364123,32,0.5219768988085773,0.3323206215635704,1.3867843998336613,1.408618249161823,1.3867843998336613,0.0
21,32,32,32,0.05,random,15.0,False,1.0,0.5999397833358998,0.0,0.5999397833358998,2.025664943286972,15.797281828886655,32,0.16531907771566998,0.028262583134116483,4.239995542673378,4.331700722495798,4.239995542673378,0.0
22,32,32,32,0.05,random,30.0,False,1.0,0.5702846713607882,0.0,0.5702846713607882,1.9848412481005433,16.122196186029193,32,0.3469227854388112,0.1309604603470668,2.1197577285425275,2.111222767290351,2.1197577285425275,0.0
23,32,32,32,0.05,random,45.0,False,1.0,0.4613493725802037,0.0,0.4613493725802037,1.9075400669458258,16.775532296543265,32,0.5357408420227873,0.34600138316638235,1.3512352575117097,1.4023110133775352,1.3512352575117097,0.0
24,32,32,32,0.1,random,15.0,False,1.0,0.5672743132365028,0.0,0.5672743132365028,1.9560976526895038,16.359101477373656,32,0.1687792668947502,0.029772546683823398,4.16136803725583,4.371241889474828,4.16136803725583,0.0
25,32,32,32,0.1,random,30.0,False,1.0,0.5119914443888172,0.0,0.5119914443888172,1.895816037136351,16.87927487328165,32,0.33023639109514025,0.11960393500681103,2.28614324511218,2.275719525974723,2.28614324511218,0.0
26,32,32,32,0.1,random,45.0,False,1.0,0.7968224516085074,0.0,0.7968224516085074,1.9976278478765381,16.018999752138885,32,0.5182431962913712,0.3242335951575771,1.3968040547208518,1.3929556355858732,1.3968040547208518,0.0
27,32,64,64,0.02,random,15.0,False,0.5,0.40905569489150595,0.0,0.40905569489150595,1.5987998571591682,20.015013046635673,32,0.13244375800518063,0.018009116089477778,6.104843729675647,6.120916154673911,6.104843729675647,0.0
28,32,64,64,0.02,random,30.0,False,0.5,0.336462165601481,0.0,0.336462165601481,1.4908745254748235,21.46391225633722,32,0.28009676448959586,0.0827650372399318,2.9067446581653127,2.9946572585478113,2.9067446581653127,0.0
29,32,64,64,0.02,random,45.0,False,0.5,0.37489508890936035,0.0,0.37489508890936035,1.537513233810044,20.81282898665022,32,0.4464084019101625,0.23073256504812698,1.7871088269191189,1.8599998831601057,1.7871088269191189,0.0
30,32,64,64,0.05,random,15.0,False,0.5,0.3881096720869644,0.0,0.3881096720869644,1.5782865555020675,20.27515211888788,32,0.13892142716949016,0.019880856284321312,5.8651561530941905,5.956834355504889,5.8651561530941905,0.0
31,32,64,64,0.05,random,30.0,False,0.5,0.423564918949261,0.0,0.423564918949261,1.586855521915232,20.16566697980045,32,0.2789338000566004,0.08297168764691323,2.977781291504045,2.9709798164813885,2.977781291504045,0.0
32,32,64,64,0.05,random,45.0,False,0.5,0.3880924172480254,0.0,0.3880924172480254,1.5374242613189997,20.81403344874127,32,0.44570348225891265,0.22634113499628228,1.855880995088898,1.8765023402931622,1.855880995088898,0.0
33,32,64,64,0.1,random,15.0,False,0.5,0.3831867484734908,0.0,0.3831867484734908,1.5130467626888437,21.14937937749698,32,0.1403825702183258,0.020181321819893044,6.082279129322249,6.003912772441693,6.082279129322249,0.0
34,32,64,64,0.1,random,30.0,False,0.5,0.44174825722696337,0.0,0.44174825722696337,1.540086249934798,20.77805707398191,32,0.29266541842061444,0.091175562898218,2.9102168037412546,2.88150229528205,2.9102168037412546,0.0
35,32,64,64,0.1,random,45.0,False,0.5,0.3524923210996174,0.0,0.3524923210996174,1.4888353362289246,21.4933103892153,32,0.43628982352864315,0.21552758040125014,1.8926369065319784,1.9246330840053545,1.8926369065319784,0.0
36,32,128,128,0.02,random,15.0,False,0.25,0.2726025691638355,0.0,0.2726025691638355,1.2902905621398841,24.800615410942445,32,0.10902071714014719,0.012142003582010211,8.181930464707715,8.356698006023617,8.181930464707715,0.0
37,32,128,128,0.02,random,30.0,False,0.25,0.2507123483298552,0.0,0.2507123483298552,1.2991726966123336,24.63105950690144,32,0.22603696073744706,0.053233796804528555,3.9488035857529615,4.010755148931494,3.9488035857529615,0.0
38,32,128,128,0.02,random,45.0,False,0.25,0.26784414583066063,0.0,0.26784414583066063,1.2881107802561633,24.842583798294307,32,0.376872079173455,0.1567449018447836,2.3934686420118796,2.422862570767696,2.3934686420118796,0.0
39,32,128,128,0.05,random,15.0,False,0.25,0.23454740603452084,0.0,0.23454740603452084,1.2480613149735496,25.639765944254258,32,0.1117266989486458,0.01275155874456702,7.974419041417523,8.229898202359166,7.974419041417523,0.0
40,32,128,128,0.05,random,30.0,False,0.25,0.2778434635395481,0.0,0.2778434635395481,1.2725502575561807,25.146354582060393,32,0.23334238316348843,0.05741395795961059,3.848072748755987,3.9259093259643776,3.848072748755987,0.0
41,32,128,128,0.05,random,45.0,False,0.25,0.27584399095837564,0.0,0.27584399095837564,1.292067747723372,24.766503193338053,32,0.3832229865308615,0.16316953842698284,2.267707308830326,2.378529684610822,2.267707308830326,0.0
42,32,128,128,0.1,random,15.0,False,0.25,0.2896232424655566,0.0,0.2896232424655566,1.2604428352469226,25.387902652269947,32,0.10849114087923087,0.01212341263744696,8.357037903018284,8.488803830388289,8.357037903018284,0.0
43,32,128,128,0.1,random,30.0,False,0.25,0.3353528142103615,0.0,0.3353528142103615,1.2647428824832876,25.30158536031362,32,0.22584054477522505,0.05334537905644725,4.002514667983041,4.062350703743115,4.002514667983041,0.0
44,32,128,128,0.1,random,45.0,False,0.25,0.2845855516246585,0.0,0.2845855516246585,1.2672791672487524,25.250947720912677,32,0.37566359880458683,0.15532952935767985,2.4696491663596003,2.424591402912512,2.4696491663596003,0.0
45,64,8,8,0.02,random,15.0,True,8.0,0.922104309970569,0.3333333333333333,0.5887709766372358,8.775959334336315,7.292650018283161,64,0.17206955518747194,0.03260962136119746,2.0282671743865524,2.2575906519694455,2.0282671743865524,0.0
46,64,8,8,0.02,random,30.0,True,8.0,0.9093267494216262,0.3333333333333333,0.5759934160882929,8.890878590681979,7.198388702222831,64,0.3312531712756176,0.13294170842695943,0.9460162018050111,1.2096182619525488,0.9460162018050111,0.0
47,64,8,8,0.02,random,45.0,True,8.0,0.9428414269500969,0.3333333333333333,0.6095080936167636,9.032504437111651,7.0855210141989655,64,0.49275258187339943,0.3088840753794594,0.6671649671322233,0.7555554223238914,0.6671649671322233,0.0
48,64,8,8,0.05,random,15.0,True,8.0,0.9147368000153809,0.3333333333333333,0.5814034666820476,9.47520316906769,6.754472580485814,64,0.16410168911641745,0.02926736899787256,1.9910725746069868,2.167421968327739,1.9910725746069868,0.0
49,64,8,8,0.05,random,30.0,True,8.0,0.9339093249735769,0.3333333333333333,0.6005759916402436,8.816659642606583,7.258984989135732,64,0.3351461839741234,0.12941221918777407,0.98968419956978,1.0915921584058634,0.98968419956978,0.0
50,64,8,8,0.05,random,45.0,True,8.0,0.9520448100308806,0.3333333333333333,0.6187114766975472,8.549716225093027,7.485628565327458,64,0.5343535533244108,0.36874636625469226,0.6312409390658351,0.6867583832694094,0.6312409390658351,0.0
51,64,8,8,0.1,random,15.0,True,8.0,0.939235120818529,0.3333333333333333,0.6059017874851957,9.129372092158443,7.010339742310644,64,0.16949831606336366,0.032609743437248234,1.8291872760372654,2.3240990416521212,1.8291872760372654,0.0
52,64,8,8,0.1,random,30.0,True,8.0,0.9725685429638219,0.3333333333333333,0.6392352096304885,9.165160120202678,6.982965835907808,64,0.3348018927506554,0.12920323159183206,0.9450762228414946,1.0895987905553308,0.9450762228414946,0.0
53,64,8,8,0.1,random,45.0,True,8.0,0.9276610993889768,0.3333333333333333,0.5943277660556434,8.934575083563038,7.163183408435503,64,0.5059800391061334,0.3227997755697088,0.6780208903522674,0.7159851632427704,0.6780208903522674,0.0
54,64,16,16,0.02,random,15.0,True,4.0,0.790230798875897,0.21821789023599236,0.5720129086399046,5.242438075260312,12.208060272952695,64,0.19468053856916828,0.03937741783561995,2.312559464218924,2.3810702559807018,2.312559464218924,0.0
55,64,16,16,0.02,random,30.0,True,4.0,0.7599992738017934,0.21821789023599236,0.5417813835658011,4.924162963191227,12.997132807831202,64,0.4021624311809274,0.17991856701070585,1.1553963838460273,1.1668112728701454,1.1553963838460273,0.0
56,64,16,16,0.02,random,45.0,True,4.0,0.7822227058513075,0.21821789023599236,0.5640048156153151,5.006505576474864,12.783367365199883,64,0.5667699577639419,0.40595873581109265,0.8012077946781921,0.8132344036479735,0.8012077946781921,0.0
