solver,noise,median_opt_gap,median_violation,feasible_rate
penalty,0.0,-0.7236240658450128,0.2378593036418266,0.0
penalty,0.05,-0.7243657667193465,0.23800428671972534,0.0
penalty,0.1,-0.7250862605780459,0.23814657946712647,0.0
penalty,0.2,-0.7259569540032265,0.23832392161297367,0.0
ALM,0.0,0.001242119439138304,0.0,1.0
ALM,0.05,0.00313557047294134,0.0,1.0
ALM,0.1,0.005029622113341805,0.0,1.0
ALM,0.2,0.009014941362864595,0.0,1.0
PID-Lagrangian,0.0,-1.3192963920310365e-05,7.3519176333469716e-06,1.0
PID-Lagrangian,0.05,0.0003213309215881167,0.0,1.0
PID-Lagrangian,0.1,0.0006790206426892139,0.0,1.0
PID-Lagrangian,0.2,0.0014643442438241026,0.0,1.0
ADMM(struct),0.0,-0.370073118610729,0.15130568501467812,0.0
ADMM(struct),0.05,-0.37119815592836675,0.1516516495477166,0.0
ADMM(struct),0.1,-0.37236586725281584,0.15201559209640308,0.0
ADMM(struct),0.2,-0.37482720947011905,0.1527953317832726,0.0
hybrid,0.0,0.00024416988225065174,0.0,1.0
hybrid,0.05,0.00111867027515208,0.0,1.0
hybrid,0.1,0.0020206712352941313,0.0,1.0
hybrid,0.2,0.003909695980359199,0.0,1.0
